## File generated by myo_cap software 
## Available from github.com/ddantas/myo_cap 
## Timestamp: 2020-01-22_13-50-20 
##  
## EMG capture settings 
##  
# sampleRate: 2000 
# channelsPerBoard: 4 
# nBoards: 1 
# bitsPerSample: 12 
# ch1;ch2;ch3;ch4
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
30;75;140;224
323;443;569;710
861;1013;1173;1340
1520;1702;1881;2062
2204;2339;2477;2617
2769;2917;3060;3197
3326;3448;3560;3691
3804;3901;3980;4039
4076;4094;4090;4066
4018;3951;3864;3758
3634;3494;3362;3215
3051;2888;2720;2547
2361;2183;1996;1816
1626;1451;1277;1107
943;794;653;523
390;284;187;112
52;16;1;5
